feature,correlation,p_value,abs_correlation
PCA_1,-0.45194455568015096,3.909073641224145e-36,0.45194455568015096
LEIDEN_cluster_37,0.4475211684871407,2.2058137867019363e-35,0.4475211684871407
LEIDEN_cluster_1,0.4307317350519186,1.251344721253534e-32,0.4307317350519186
LEIDEN_cluster_35,-0.3751756380844389,1.494294129074781e-24,0.3751756380844389
LEIDEN_cluster_33,-0.35965700602037515,1.4717789706916472e-22,0.35965700602037515
LEIDEN_cluster_3,0.3412379714244335,2.4861638367674678e-20,0.3412379714244335
LEIDEN_cluster_53,0.32766290908675627,8.804380673907284e-19,0.32766290908675627
LEIDEN_cluster_41,0.32211626016622275,3.594689944905658e-18,0.32211626016622275
LEIDEN_cluster_47,0.3198437794184316,6.3436985544020786e-18,0.3198437794184316
LEIDEN_cluster_12,0.31679387783027435,1.3493373254559506e-17,0.31679387783027435
LEIDEN_cluster_5,0.31633042054671745,1.5121679645629672e-17,0.31633042054671745
LEIDEN_cluster_44,0.31132199883047335,5.1144891302464586e-17,0.31132199883047335
LEIDEN_cluster_7,-0.30872059845751765,9.543716787121069e-17,0.30872059845751765
LEIDEN_cluster_54,0.3067321914666318,1.5310268611275583e-16,0.3067321914666318
LEIDEN_cluster_20,-0.297522675713777,1.3043868648737555e-15,0.297522675713777
LEIDEN_cluster_29,-0.2770554239838124,1.164484359918127e-13,0.2770554239838124
LEIDEN_cluster_52,-0.27406532146665175,2.177105277900246e-13,0.27406532146665175
LEIDEN_cluster_4,0.27061175060868625,4.4423663463646234e-13,0.27061175060868625
LEIDEN_cluster_31,-0.26811501745750205,7.39250207646121e-13,0.26811501745750205
LEIDEN_cluster_49,-0.26355511111883206,1.8485572835967257e-12,0.26355511111883206
LEIDEN_cluster_11,0.2585765904277596,4.929043171722365e-12,0.2585765904277596
LEIDEN_cluster_40,-0.2509966805467574,2.108993262490626e-11,0.2509966805467574
total_char_length,0.25078143461193453,2.1963522103874157e-11,0.25078143461193453
clean_text_length,0.2496917034876864,2.695803134979518e-11,0.2496917034876864
LEIDEN_cluster_0,0.2390811198507669,1.8843353231516299e-10,0.2390811198507669
LEIDEN_cluster_25,-0.21873347438659405,6.095192426599313e-09,0.21873347438659405
LEIDEN_cluster_51,-0.21131801440298323,1.9958736749484678e-08,0.21131801440298323
LEIDEN_cluster_19,0.20405207102733522,6.123982149656074e-08,0.20405207102733522
LEIDEN_cluster_45,-0.20059850262001475,1.0287767424418345e-07,0.20059850262001475
LEIDEN_cluster_17,0.19020789637288144,4.640012001086349e-07,0.19020789637288144
LEIDEN_cluster_16,-0.16271389930700542,1.6980458906427043e-05,0.16271389930700542
LEIDEN_cluster_8,-0.16062083051100362,2.183706498987026e-05,0.16062083051100362
LEIDEN_cluster_30,0.14724012320128302,0.00010128709530988513,0.14724012320128302
LEIDEN_cluster_13,-0.14471348657428226,0.00013341857565029423,0.14471348657428226
LEIDEN_cluster_24,0.14093100689007407,0.00019986167916048248,0.14093100689007407
LEIDEN_cluster_27,0.14019843177336969,0.00021588443468922785,0.14019843177336969
LEIDEN_cluster_23,-0.13148228293584643,0.0005251860189116846,0.13148228293584643
LEIDEN_cluster_42,-0.12892574528367406,0.0006749114023374544,0.12892574528367406
total_tokens,0.11959430449931646,0.00162342122716342,0.11959430449931646
LEIDEN_cluster_32,0.11880424826308529,0.001743925937089488,0.11880424826308529
LEIDEN_cluster_2,-0.10943027290780895,0.003950136329131668,0.10943027290780895
LEIDEN_cluster_58,0.10940037584661506,0.00396007897591875,0.10940037584661506
avg_tokens_per_chunk,-0.1087624359594397,0.0041777106601942615,0.1087624359594397
LEIDEN_cluster_46,-0.10726244963275694,0.004732690077700237,0.10726244963275694
LEIDEN_cluster_34,-0.10672423409375628,0.004947516444774667,0.10672423409375628
LEIDEN_cluster_10,-0.10222412887969351,0.0071176568850856645,0.10222412887969351
LEIDEN_cluster_15,0.09594491451939217,0.01156385558539167,0.09594491451939217
LEIDEN_cluster_50,-0.09113084946676352,0.016487757188386562,0.09113084946676352
LEIDEN_cluster_26,-0.08808094489925966,0.02048388819694431,0.08808094489925966
LEIDEN_cluster_57,0.06816686213496978,0.07312765067965009,0.06816686213496978
LEIDEN_cluster_39,-0.06546081757851088,0.08529837178817959,0.06546081757851088
LEIDEN_cluster_36,-0.06199229875283666,0.10323218288475831,0.06199229875283666
LEIDEN_cluster_22,0.057761305375250746,0.1290186191196271,0.057761305375250746
LEIDEN_cluster_21,-0.05683437359493094,0.13528452648418615,0.05683437359493094
LEIDEN_cluster_43,-0.05577288720133891,0.14274526518131636,0.05577288720133891
LEIDEN_cluster_38,0.05225951674367516,0.16969442340368876,0.05225951674367516
PCA_2,-0.05216958736755604,0.17043104072814658,0.05216958736755604
LEIDEN_cluster_56,-0.03695019185581266,0.33175647641765793,0.03695019185581266
LEIDEN_cluster_55,0.036800686729954624,0.33371791591253785,0.036800686729954624
LEIDEN_cluster_18,-0.03258464129550404,0.3920831247793761,0.03258464129550404
LEIDEN_cluster_48,-0.028009785329502334,0.4619530543397251,0.028009785329502334
LEIDEN_cluster_28,-0.026873545642885306,0.48032368921926305,0.026873545642885306
LEIDEN_cluster_14,-0.017125812322127988,0.6529063575434856,0.017125812322127988
LEIDEN_cluster_9,0.010891448320125298,0.7748782850215449,0.010891448320125298
LEIDEN_cluster_6,0.00609233365802748,0.872899959784742,0.00609233365802748
